filepath,label,aoi_name,row,col,center_lat,center_lon
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c0.npy,0,T1_Ladakh,0,0,34.28706606828367,77.75479033784931
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c256.npy,0,T1_Ladakh,0,256,34.287799193754815,77.78256129088389
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c512.npy,0,T1_Ladakh,0,512,34.288526038443784,77.81033324314286
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c768.npy,0,T1_Ladakh,0,768,34.28924660160693,77.83810618606284
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c1024.npy,0,T1_Ladakh,0,1024,34.28996088250707,77.8658801110786
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c1280.npy,0,T1_Ladakh,0,1280,34.29066888041331,77.89365500962302
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c1536.npy,0,T1_Ladakh,0,1536,34.2913705946012,77.92143087312708
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c1792.npy,0,T1_Ladakh,0,1792,34.29206602435264,77.9492076930199
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c2048.npy,0,T1_Ladakh,0,2048,34.292755168955935,77.97698546072883
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c2304.npy,0,T1_Ladakh,0,2304,34.293438027705754,78.0047641676793
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c2560.npy,0,T1_Ladakh,0,2560,34.29411459990317,78.03254380529498
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c2816.npy,0,T1_Ladakh,0,2816,34.29478488485564,78.06032436499775
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c3072.npy,0,T1_Ladakh,0,3072,34.29544888187699,78.08810583820772
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c3328.npy,0,T1_Ladakh,0,3328,34.29610659028749,78.1158882163432
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c3584.npy,0,T1_Ladakh,0,3584,34.29675800941378,78.14367149082081
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c3840.npy,0,T1_Ladakh,0,3840,34.29740313858888,78.17145565305539
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c4096.npy,0,T1_Ladakh,0,4096,34.29804197715222,78.19924069446013
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c4352.npy,0,T1_Ladakh,0,4352,34.29867452444964,78.22702660644647
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c4608.npy,0,T1_Ladakh,0,4608,34.29930077983339,78.2548133804242
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c4864.npy,0,T1_Ladakh,0,4864,34.2999207426621,78.28260100780147
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c5120.npy,0,T1_Ladakh,0,5120,34.30053441230082,78.31038947998474
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c5376.npy,0,T1_Ladakh,0,5376,34.30114178812102,78.33817878837887
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c5632.npy,0,T1_Ladakh,0,5632,34.301742869500565,78.36596892438709
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c5888.npy,0,T1_Ladakh,0,5888,34.30233765582372,78.39375987941106
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c6144.npy,0,T1_Ladakh,0,6144,34.3029261464812,78.42155164485087
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c6400.npy,0,T1_Ladakh,0,6400,34.30350834087009,78.44934421210498
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c6656.npy,0,T1_Ladakh,0,6656,34.30408423839395,78.47713757257036
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c6912.npy,0,T1_Ladakh,0,6912,34.30465383846271,78.50493171764245
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c7168.npy,0,T1_Ladakh,0,7168,34.30521714049272,78.53272663871518
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c7424.npy,0,T1_Ladakh,0,7424,34.30577414390679,78.56052232718093
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c7680.npy,0,T1_Ladakh,0,7680,34.30632484813413,78.58831877443068
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c7936.npy,0,T1_Ladakh,0,7936,34.30686925261037,78.61611597185387
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c8192.npy,0,T1_Ladakh,0,8192,34.30740735677757,78.64391391083855
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c8448.npy,0,T1_Ladakh,0,8448,34.30793916008423,78.6717125827713
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c8704.npy,0,T1_Ladakh,0,8704,34.308464661985276,78.69951197903733
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c8960.npy,0,T1_Ladakh,0,8960,34.30898386194205,78.7273120910204
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c9216.npy,0,T1_Ladakh,0,9216,34.30949675942235,78.75511291010292
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c9472.npy,0,T1_Ladakh,0,9472,34.3100033539004,78.78291442766593
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c9728.npy,0,T1_Ladakh,0,9728,34.310503644856844,78.81071663508911
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c9984.npy,0,T1_Ladakh,0,9984,34.3109976317788,78.83851952375083
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c10240.npy,0,T1_Ladakh,0,10240,34.31148531415978,78.86632308502813
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r0_c10496.npy,0,T1_Ladakh,0,10496,34.31196669149978,78.89412731029675
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c0.npy,0,T1_Ladakh,256,0,34.26401579917729,77.75567687260344
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c256.npy,0,T1_Ladakh,256,256,34.26474829482727,77.78344027114684
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c512.npy,0,T1_Ladakh,256,512,34.26547451508016,77.81120466781708
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c768.npy,0,T1_Ladakh,256,768,34.26619445919326,77.83897005406018
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c1024.npy,0,T1_Ladakh,256,1024,34.26690812643024,77.86673642132025
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c1280.npy,0,T1_Ladakh,256,1280,34.26761551606116,77.89450376103949
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c1536.npy,0,T1_Ladakh,256,1536,34.268316627362424,77.92227206465824
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c1792.npy,0,T1_Ladakh,256,1792,34.26901145961684,77.95004132361503
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c2048.npy,0,T1_Ladakh,256,2048,34.269700012113574,77.97781152934645
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c2304.npy,0,T1_Ladakh,256,2304,34.270382284148155,78.00558267328739
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c2560.npy,0,T1_Ladakh,256,2560,34.27105827502252,78.03335474687087
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c2816.npy,0,T1_Ladakh,256,2816,34.27172798404497,78.06112774152808
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c3072.npy,0,T1_Ladakh,256,3072,34.2723914105302,78.08890164868856
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c3328.npy,0,T1_Ladakh,256,3328,34.27304855379929,78.11667645978
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c3584.npy,0,T1_Ladakh,256,3584,34.273699413179706,78.14445216622833
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c3840.npy,0,T1_Ladakh,256,3840,34.274343988005306,78.17222875945788
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c4096.npy,0,T1_Ladakh,256,4096,34.27498227761633,78.20000623089113
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c4352.npy,0,T1_Ladakh,256,4352,34.27561428135942,78.22778457194896
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c4608.npy,0,T1_Ladakh,256,4608,34.2762399985876,78.25556377405054
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c4864.npy,0,T1_Ladakh,256,4864,34.276859428660316,78.2833438286134
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c5120.npy,0,T1_Ladakh,256,5120,34.27747257094339,78.31112472705344
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c5376.npy,0,T1_Ladakh,256,5376,34.27807942480907,78.33890646078487
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c5632.npy,0,T1_Ladakh,256,5632,34.278679989635975,78.36668902122038
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c5888.npy,0,T1_Ladakh,256,5888,34.27927426480914,78.39447239977102
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c6144.npy,0,T1_Ladakh,256,6144,34.27986224972002,78.42225658784623
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c6400.npy,0,T1_Ladakh,256,6400,34.28044394376645,78.45004157685398
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c6656.npy,0,T1_Ladakh,256,6656,34.28101934635271,78.47782735820061
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c6912.npy,0,T1_Ladakh,256,6912,34.28158845688946,78.50561392329101
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c7168.npy,0,T1_Ladakh,256,7168,34.28215127479377,78.53340126352849
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c7424.npy,0,T1_Ladakh,256,7424,34.28270779948917,78.5611893703149
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c7680.npy,0,T1_Ladakh,256,7680,34.28325803040556,78.58897823505062
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c7936.npy,0,T1_Ladakh,256,7936,34.28380196697927,78.61676784913455
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c8192.npy,0,T1_Ladakh,256,8192,34.28433960865303,78.64455820396415
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c8448.npy,0,T1_Ladakh,256,8448,34.28487095487604,78.67234929093547
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c8704.npy,0,T1_Ladakh,256,8704,34.28539600510389,78.70014110144314
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c8960.npy,0,T1_Ladakh,256,8960,34.28591475879859,78.72793362688036
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c9216.npy,0,T1_Ladakh,256,9216,34.28642721542858,78.75572685863898
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c9472.npy,0,T1_Ladakh,256,9472,34.28693337446873,78.78352078810953
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c9728.npy,0,T1_Ladakh,256,9728,34.28743323540035,78.81131540668112
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c9984.npy,0,T1_Ladakh,256,9984,34.28792679771115,78.83911070574159
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c10240.npy,0,T1_Ladakh,256,10240,34.28841406089529,78.8669066766774
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r256_c10496.npy,0,T1_Ladakh,256,10496,34.28889502445338,78.8947033108738
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c0.npy,0,T1_Ladakh,512,0,34.24096542308999,77.75656240067833
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c256.npy,0,T1_Ladakh,512,256,34.241697289255534,77.78431825328259
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c512.npy,0,T1_Ladakh,512,512,34.242422885406235,77.81207510291813
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c768.npy,0,T1_Ladakh,512,768,34.243142210800286,77.83983294104026
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c1024.npy,0,T1_Ladakh,512,1024,34.24385526470229,77.86759175910241
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c1280.npy,0,T1_Ladakh,512,1280,34.2445620463832,77.89535154855614
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c1536.npy,0,T1_Ladakh,512,1536,34.24526255512031,77.92311230085112
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c1792.npy,0,T1_Ladakh,512,1792,34.24595679019728,77.95087400743516
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c2048.npy,0,T1_Ladakh,512,2048,34.246644750904174,77.97863665975429
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c2304.npy,0,T1_Ladakh,512,2304,34.24732643653739,78.00640024925266
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c2560.npy,0,T1_Ladakh,512,2560,34.24800184639972,78.03416476737266
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c2816.npy,0,T1_Ladakh,512,2816,34.248670979800316,78.06193020555489
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c3072.npy,0,T1_Ladakh,512,3072,34.24933383605471,78.08969655523816
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c3328.npy,0,T1_Ladakh,512,3328,34.24999041448482,78.11746380785956
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c3584.npy,0,T1_Ladakh,512,3584,34.250640714418935,78.14523195485442
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c3840.npy,0,T1_Ladakh,512,3840,34.251284735191724,78.17300098765635
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c4096.npy,0,T1_Ladakh,512,4096,34.25192247614426,78.20077089769727
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c4352.npy,0,T1_Ladakh,512,4352,34.25255393662397,78.2285416764074
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c4608.npy,0,T1_Ladakh,512,4608,34.253179115984686,78.25631331521531
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c4864.npy,0,T1_Ladakh,512,4864,34.25379801358663,78.28408580554792
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c5120.npy,0,T1_Ladakh,512,5120,34.25441062879642,78.31185913883043
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c5376.npy,0,T1_Ladakh,512,5376,34.25501696098705,78.33963330648655
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c5632.npy,0,T1_Ladakh,512,5632,34.255617009537914,78.36740829993828
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c5888.npy,0,T1_Ladakh,512,5888,34.25621077383482,78.39518411060608
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c6144.npy,0,T1_Ladakh,512,6144,34.256798253269956,78.42296072990882
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c6400.npy,0,T1_Ladakh,512,6400,34.257379447241895,78.45073814926384
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c6656.npy,0,T1_Ladakh,512,6656,34.25795435515565,78.47851636008689
DRDO_Terrain_Dataset_7Channel\T1_Ladakh_r512_c6912.npy,0,T1_Ladakh,512,6912,34.25852297642261,78.50629535379223
